,Shooter,value_added_total,shot_worth_total,PTS_total,Shot_taken,value_added_per_shot,shot_worth_per_shot,PTS_per_shot,SHOT_RESULT,probs,mean_pps,SHOT_DIST,SHOT_CLOCK,CLOSE_DEF_DIST,TOUCH_TIME,DRIBBLES
284,"Lowry, Kyle",-34.86803654,968.6120037,986,1029,-0.033885361,0.941313901,0.958211856,0.414965986,0.406114334,0.994268579,16.14528669,12.61402516,3.987852284,5.032069971,4.860058309
285,"Lucas III, John",-0.563217138,88.3622427,93,104,-0.005415549,0.849636949,0.894230769,0.403846154,0.380690995,0.994268579,18.49230769,10.70276333,4.311538462,6.292307692,6.576923077
286,"Lucas, Kalin",-0.908268574,0.854663612,0,1,-0.908268574,0.854663612,0,0,0.427331806,0.994268579,16.4,8.8,5.9,15.2,19
287,"Mack, Shelvin",-30.48367968,289.3266432,274,291,-0.104754913,0.994249633,0.941580756,0.402061856,0.417244645,0.994268579,16.52542955,12.22344849,5.287628866,3.484879725,3.553264605
288,"Mahinmi, Ian",-18.09443133,221.8851914,220,202,-0.089576393,1.098441542,1.089108911,0.544554455,0.549220771,0.994268579,5.364356436,13.26209749,2.788118812,1.133168317,0.247524752
289,"Marble, Devyn",-20.38896535,48.78207973,32,43,-0.474161985,1.13446697,0.744186047,0.325581395,0.464360366,0.994268579,15.50465116,14.56392415,5.623255814,1.6,0.860465116
290,"Marion, Shawn",-55.76657332,285.3534363,248,262,-0.212849516,1.089135253,0.946564885,0.450381679,0.509882992,0.994268579,9.090458015,12.53775737,3.655725191,1.403053435,0.675572519
291,"Marshall, Kendall",2.666695576,102.0295371,110,101,0.026402926,1.010193437,1.089108911,0.455445545,0.423118633,0.994268579,17.02772277,12.04943002,5.022772277,4.147524752,4.03960396
292,"Martin, Cartier",-20.61402613,52.35943617,36,52,-0.396423579,1.006912234,0.692307692,0.288461538,0.387267839,0.994268579,20.54615385,11.25281184,5.321153846,1.407692308,0.711538462
293,"Martin, Kenyon",-6.497178031,23.376674,18,21,-0.30938943,1.113174952,0.857142857,0.428571429,0.556587476,0.994268579,9.019047619,11.12857143,5.366666667,1.019047619,0.333333333
294,"Martin, Kevin",-5.835540709,572.0254494,597,614,-0.009504138,0.93163754,0.972312704,0.426710098,0.410046807,0.994268579,17.08778502,13.21794949,4.187785016,2.206026059,1.03257329
295,"Matthews, Wesley",13.18748022,790.6277586,847,751,0.017559894,1.052766656,1.127829561,0.44873502,0.415674112,0.994268579,18.53115846,12.49881275,4.867110519,2.115845539,1.170439414
296,"Maxiell, Jason",-36.55584815,184.4907981,162,188,-0.194446001,0.981334032,0.861702128,0.430851064,0.490667016,0.994268579,8.615957447,11.96299837,3.438829787,1.206382979,0.345744681
297,"Mayo, O.J.",-66.69654589,696.2080217,665,681,-0.097939128,1.022331897,0.97650514,0.418502203,0.437539453,0.994268579,16.54302496,13.50999761,4.186196769,2.098825257,1.389133627
298,"Mbah a Moute, Luc",-117.4138991,619.4323045,546,612,-0.191852776,1.012144288,0.892156863,0.39869281,0.445708289,0.994268579,14.74150327,12.28030015,4.848202614,1.871895425,0.867647059
299,"McAdoo, James Michael",41.04591734,52.2074832,96,44,0.932861758,1.186533709,2.181818182,0.545454545,0.593266855,0.994268579,4.647727273,13.46019861,2.788636364,1.322727273,0.522727273
300,"McCallum, Ray",-34.64519386,457.1798987,441,466,-0.07434591,0.981072744,0.946351931,0.43776824,0.447811872,0.994268579,12.54141631,12.01642616,4.183261803,3.593562232,3.502145923
301,"McCollum, CJ",-7.953564489,362.8128716,373,365,-0.021790588,0.994007867,1.021917808,0.435616438,0.425832932,0.994268579,15.90767123,12.24704726,4.540273973,3.101917808,2.682191781
302,"McDaniels, KJ",-90.94618338,443.9054209,380,425,-0.21399102,1.044483343,0.894117647,0.397647059,0.458863065,0.994268579,13.29152941,13.01715866,4.036,2.076941176,1.343529412
303,"McDermott, Doug",-20.62536349,112.2767486,99,104,-0.198320803,1.079584121,0.951923077,0.413461538,0.467127988,0.994268579,14.63557692,13.0288219,4.373076923,1.623076923,0.884615385
