,Defender,value_added_total,shot_worth_total,PTS_total,Shot_defenses,value_added_per_shot,shot_worth_per_shot,PTS_per_shot_allowed,SHOT_RESULT,probs,mean_pps,SHOT_DIST,SHOT_CLOCK,CLOSE_DEF_DIST,TOUCH_TIME,DRIBBLES
60,"Brewer, Corey",-55.91011681,634.6440789,613,625,-0.089456187,1.015430526,0.9808,0.4256,0.435803335,0.994268579,16.4264,12.42305744,4.75184,2.68128,1.8832
320,"Millsap, Elijah",-55.27724789,275.6015548,240,281,-0.196716185,0.980788451,0.854092527,0.377224199,0.426298043,0.994268579,15.80640569,12.42858035,3.962989324,2.013879004,1.725978648
34,"Barton, Will",-54.85328986,265.7965636,227,263,-0.208567642,1.010633322,0.863117871,0.372623574,0.439154768,0.994268579,15.01520913,12.72446237,4.019771863,2.29391635,1.501901141
221,"Howard, Dwight",-54.41127419,453.0513769,427,439,-0.123943677,1.032007692,0.972665148,0.4738041,0.501816784,0.994268579,9.419134396,12.53847934,4.289749431,2.493849658,1.69476082
9,"Allen, Lavoy",-54.30595217,420.8905786,395,427,-0.127180216,0.985692222,0.925058548,0.449648712,0.473043652,0.994268579,10.21498829,12.50849188,3.543559719,2.718501171,1.894613583
137,"Dunleavy, Mike",-53.69893946,504.9704583,486,519,-0.103466165,0.972968128,0.936416185,0.414258189,0.428962654,0.994268579,15.71117534,12.79572705,4.502890173,2.260115607,1.431599229
110,"Curry, Stephen",-53.48125003,735.2352605,725,778,-0.068741967,0.945032468,0.931876607,0.406169666,0.409877258,0.994268579,16.32583548,12.03415132,4.2281491,3.826735219,3.323907455
226,"Iguodala, Andre",-52.90450614,544.7474694,527,555,-0.095323434,0.981526972,0.94954955,0.414414414,0.426428444,0.994268579,16.57027027,12.53346806,4.802702703,2.630630631,1.854054054
162,"Galloway, Langston",-52.68609467,448.546778,421,469,-0.112337089,0.956389719,0.897654584,0.396588486,0.420412675,0.994268579,15.28017058,12.65325649,3.834541578,3.162260128,2.560767591
419,"Splitter, Tiago",-52.38540659,431.8154078,405,446,-0.117456069,0.968195982,0.908071749,0.434977578,0.462000238,0.994268579,10.60807175,11.6262859,3.594170404,2.797533632,2.029147982
297,"Matthews, Wesley",-52.2522061,538.7485229,518,558,-0.093641946,0.965499145,0.928315412,0.405017921,0.418522981,0.994268579,16.42795699,12.98981352,4.270250896,2.702150538,1.976702509
121,"Dedmon, Dewayne",-51.52374566,309.1465006,278,315,-0.163567447,0.981417462,0.882539683,0.419047619,0.467372241,0.994268579,10.24095238,11.86408694,3.833333333,2.501904762,1.619047619
413,"Smith, J.R.",-51.50652886,568.2302046,550,555,-0.092804557,1.023838206,0.990990991,0.421621622,0.4311688,0.994268579,17.18594595,12.98625176,4.995135135,2.071351351,1.288288288
181,"Grant, Jerami",-51.40204765,472.9440357,453,469,-0.109599249,1.008409458,0.965884861,0.424307036,0.448403968,0.994268579,13.93923241,12.15700666,4.308315565,2.724307036,2.117270789
258,"Kelly, Ryan",-51.32774883,445.1990814,420,445,-0.115343256,1.000447374,0.943820225,0.417977528,0.431602881,0.994268579,15.56449438,12.42943049,4.956404494,2.370561798,1.492134831
50,"Bledsoe, Eric",-51.31382154,974.1903942,977,989,-0.051884552,0.985025677,0.987866532,0.432760364,0.431804105,0.994268579,15.37826087,12.62190564,3.990091001,3.294539939,2.762386249
14,"Anderson, Alan",-51.21958614,529.1408682,511,526,-0.097375639,1.005971232,0.97148289,0.431558935,0.439390269,0.994268579,15.8891635,12.25401311,4.488403042,2.303992395,1.602661597
303,"McCollum, CJ",-50.05591696,332.5749668,305,359,-0.139431524,0.926392665,0.849582173,0.376044568,0.410816967,0.994268579,15.36406685,12.34262063,3.413091922,3.079108635,2.51810585
38,"Baynes, Aron",-49.39756511,427.0450695,406,458,-0.107854946,0.932412816,0.886462882,0.43231441,0.452821375,0.994268579,9.287772926,11.92635862,3.341703057,3.072707424,2.189956332
487,"Young, Nick",-48.84835044,248.3827881,214,248,-0.196969155,1.0015435,0.862903226,0.375,0.427791185,0.994268579,16.51129032,12.00588563,4.15766129,2.665322581,1.907258065
20,"Antic, Pero",-48.67793525,340.8427596,316,345,-0.141095464,0.987950028,0.915942029,0.443478261,0.472613378,0.994268579,10.12927536,12.48381433,3.700869565,2.639710145,1.724637681
244,"Johnson, Joe",-48.26617562,784.8741349,789,747,-0.064613354,1.050701653,1.0562249,0.463186078,0.450041628,0.994268579,16.31726908,12.3788082,4.882463186,2.112985274,1.299866131
489,"Zeller, Cody",-48.04677898,584.0978665,570,601,-0.079944724,0.97187665,0.948419301,0.4359401,0.449297409,0.994268579,12.20665557,12.10842709,3.967886855,2.412645591,1.382695507
201,"Harris, Tobias",-47.90040638,742.1095579,743,742,-0.064555804,1.000147652,1.001347709,0.446091644,0.443588767,0.994268579,14.77762803,11.66727216,4.426145553,2.367654987,1.544474394
400,"Scola, Luis",-47.70701457,516.078369,507,527,-0.090525644,0.979275842,0.962049336,0.451612903,0.453697484,0.994268579,12.49278937,12.38787647,3.939278937,2.351612903,1.563567362
444,"Tucker, PJ",-47.39055857,753.4723667,748,751,-0.063103274,1.003292099,0.996005326,0.444740346,0.440938774,0.994268579,15.48921438,12.33123787,4.264314248,2.772703063,1.933422104
131,"Dragic, Goran",-47.24772933,733.5351218,730,740,-0.063848283,0.991263678,0.986486486,0.436486486,0.435350391,0.994268579,15.01256757,12.91388142,3.95527027,2.792432432,2.210810811
124,"Diaw, Boris",-46.8331815,818.4963825,824,808,-0.057961858,1.012990572,1.01980198,0.474009901,0.467659483,0.994268579,12.38329208,12.02932644,3.933044554,2.90049505,2.215346535
54,"Bonner, Matt",-46.76191275,358.4603606,339,376,-0.124366789,0.953352023,0.901595745,0.420212766,0.446041655,0.994268579,12.19521277,13.03034813,3.590691489,2.417819149,1.670212766
56,"Boozer, Carlos",-46.17782008,553.6501685,543,545,-0.084729945,1.015871869,0.996330275,0.455045872,0.460825862,0.994268579,13.56073394,12.45708107,4.906422018,2.256880734,1.306422018
268,"Lamb, Jeremy",-45.82274973,223.5206713,193,221,-0.207342759,1.011405752,0.873303167,0.384615385,0.431095386,0.994268579,16.71131222,12.21355183,4.556108597,2.279638009,1.57918552
189,"Griffin, Blake",-45.76073155,868.9527507,874,866,-0.052841491,1.003409643,1.009237875,0.458429561,0.453759535,0.994268579,13.52621247,11.84539656,4.379445727,2.221939954,1.294457275
106,"Crowder, Jae",-45.49585457,573.6441143,563,566,-0.080381368,1.013505502,0.994699647,0.432862191,0.435912907,0.994268579,15.45865724,12.13747508,4.231625442,2.396289753,1.659010601
483,"Wright, Brandan",-45.35852268,613.6542579,609,609,-0.074480333,1.00764246,1,0.471264368,0.481431295,0.994268579,9.59589491,12.42456426,3.69408867,2.839244663,2.039408867
298,"Maxiell, Jason",-45.2975421,314.0165934,290,324,-0.139807229,0.969187017,0.895061728,0.422839506,0.459147961,0.994268579,11.13734568,12.45645812,4.172222222,2.614814815,1.805555556
397,"Sampson, JaKarr",-44.33032196,444.820448,431,435,-0.101908786,1.022575743,0.990804598,0.436781609,0.448300819,0.994268579,14.53632184,13.04489323,4.322068966,2.635632184,2.004597701
315,"Miller, Andre",-44.01688106,407.453947,391,412,-0.10683709,0.988965891,0.949029126,0.395631068,0.412108041,0.994268579,17.94441748,13.09239,5.015776699,3.36092233,2.859223301
414,"Smith, Jason",-43.97859495,679.0456812,679,669,-0.06573781,1.015015966,1.014947683,0.457399103,0.460082463,0.994268579,13.24304933,12.40361882,4.560089686,2.244394619,1.330343797
173,"Gooden, Drew",-43.91550956,310.8301533,287,312,-0.140754838,0.996250491,0.919871795,0.416666667,0.446293499,0.994268579,14.63942308,12.15013196,4.500320513,2.47275641,1.753205128
241,"Johnson, Amir",-43.9024638,812.6097245,818,819,-0.053604962,0.992197466,0.998778999,0.468864469,0.466732466,0.994268579,10.51367521,12.6714388,3.74957265,2.397313797,1.543345543
