,Defender,value_added_x,value_added_y,Shot_defenses,shot_worth_y,shot_worth_x
118,"Dawkins, Andre",-3.826266331391799,-0.5466094759131142,7.0,1.2608951901988286,8.8262663313918
119,"Daye, Austin",8.986724932819955,0.07132321375253933,126.0,0.9524863100569848,120.01327506718009
120,"DeRozan, DeMar",19.805420286194664,0.03736871752112201,530.0,1.0230086409694428,542.1945797138047
121,"Dedmon, Dewayne",-31.146500590452277,-0.09887777965222945,315.0,0.9814174621919117,309.1465005904522
122,"Dellavedova, Matthew",4.268527896283918,0.008658271594896386,493.0,0.9568589697844135,471.7314721037159
123,"Deng, Luol",-13.871778810726203,-0.015999744879730337,867.0,1.0113861347297883,876.8717788107265
124,"Diaw, Boris",5.503617495790356,0.006811407791819747,808.0,1.0129905724062014,818.4963825042107
125,"Dieng, Gorgui",33.1229377222507,0.035847335197241016,924.0,1.046403747053842,966.87706227775
126,"Dinwiddie, Spencer",2.8451717889728187,0.025403319544400168,112.0,0.9745966804555998,109.15482821102718
127,"Dorsey, Joey",-14.895003260202959,-0.038192316051802455,390.0,0.9869102647697514,384.89500326020305
128,"Dos Santos, Atila",-0.5389418982115801,-0.029941216567310008,18.0,0.8632745499006433,15.538941898211581
129,"Douglas, Toney",4.999547891655023,0.09258422021583376,54.0,1.0370454094137957,56.00045210834497
130,"Douglas-Roberts, Chris",5.337712503272029,0.3139830884277664,17.0,1.1566051468663514,19.662287496727973
131,"Dragic, Goran",-3.5351217624815443,-0.004777191570921006,740.0,0.9912636780574076,733.5351217624816
132,"Dragic, Zoran",-4.632081862092188,-0.2724754036524817,17.0,0.9195342271818935,15.632081862092189
133,"Drew, Larry",7.292859523908499,0.10271633132265491,71.0,1.0099597250153733,71.70714047609151
134,"Drummond, Andre",-26.8381436808165,-0.026389521810045724,1017.0,1.0234396693026708,1040.8381436808163
135,"Dudley, Jared",20.81453838637949,0.039496277773016106,527.0,1.0060445191909306,530.1854616136204
136,"Duncan, Tim",-86.7950151770687,-0.08740686321960595,993.0,0.9947583234411577,987.7950151770696
137,"Dunleavy, Mike",-18.97045827567258,-0.036551942727692834,519.0,0.972968127698791,504.97045827567257
138,"Durant, Kevin",-19.13511484974454,-0.07972964520726891,240.0,1.038062978540602,249.13511484974447
139,"Early, Cleanthony",4.1328685984975815,0.02296038110276434,180.0,1.0548173966750132,189.86713140150238
140,"Ellington, Wayne",7.2779461914680255,0.01479257355989436,492.0,0.9852074264401051,484.7220538085317
141,"Ellis, Monta",-13.153188660283494,-0.015621364204612225,842.0,1.0191843095727824,858.1531886602828
142,"Ennis, James",28.708207467894972,0.0941252703865409,305.0,1.037022270597066,316.29179253210515
143,"Ennis, Tyler",-4.284809753434518,-0.03541165085483073,121.0,0.9197091715159879,111.28480975343453
144,"Evans, Jeremy",-4.495408697107585,-0.04049917745141969,111.0,0.9954541324063745,110.49540869710756
145,"Evans, Reggie",36.721009427405015,0.1288456471137018,285.0,0.9904525985003333,282.278990572595
146,"Evans, Tyreke",28.122525121392773,0.033964402320522676,828.0,0.997436563863051,825.8774748786062
147,"Exum, Dante",46.44267534263094,0.08147837779408937,570.0,0.9658900432585419,550.5573246573689
148,"Ezeli, Festus",-7.104037174390176,-0.028761284106842817,247.0,0.9599353731756686,237.10403717439013
149,"Faried, Kenneth",33.26717268799027,0.039091859797873406,851.0,0.9961607841504231,847.73282731201
150,"Farmar, Jordan",-2.95478750441889,-0.015075446451116786,196.0,0.9895652423694843,193.95478750441893
151,"Favors, Derrick",-48.4796429256937,-0.05269526404966707,920.0,0.9516083075279285,875.4796429256942
