,Shooter,value_added_x,value_added_y,Shot_taken,shot_worth_y,shot_worth_x
103,"Covington, Robert",-15.570099861145467,-0.021012280514366353,741.0,1.0331580295022196,765.5700998611446
104,"Crabbe, Allen",-13.700477620266186,-0.09013472118596175,152.0,1.116450510659646,169.7004776202662
105,"Crawford, Jamal",26.845616460538547,0.031997159070963704,839.0,0.9012567145881535,756.1543835394608
106,"Crowder, Jae",-58.76265868027751,-0.10841818944700647,542.0,1.0622927281923928,575.7626586802769
107,"Cunningham, Dante",-4.050266820035128,-0.011983037929098012,338.0,0.9321013811243639,315.050266820035
108,"Cunningham, Jared",-8.944866560398836,-0.27105656243632836,33.0,1.1195414109211765,36.94486656039883
109,"Curry, Seth",-2.378810966685117,-0.7929369888950389,3.0,0.7929369888950389,2.378810966685117
110,"Curry, Stephen",275.4244941687874,0.2088131115760329,1319.0,0.9837570173094862,1297.5755058312122
111,"Dalembert, Samuel",-17.829213024559643,-0.13714779249661263,130.0,1.0140708694196892,131.82921302455958
112,"Daniels, Troy",-1.6681281936787826,-0.010361044681234674,161.0,1.016572224805458,163.66812819367874
113,"Datome, Gigi",15.75747268302342,0.1770502548654317,89.0,0.9914890709772648,88.24252731697656
114,"Davies, Brandon",-21.39502803384428,-0.15616808783827943,137.0,1.017481956451418,139.39502803384426
115,"Davis, Anthony",105.07556922054472,0.0880767554237592,1193.0,0.9823339738302217,1171.9244307794545
116,"Davis, Ed",52.414256607044926,0.11394403610227158,460.0,1.1077950943325103,509.5857433929547
117,"Davis, Glen",-18.154888456288745,-0.0711956410050539,255.0,0.9888426998285833,252.15488845628875
118,"Dawkins, Andre",-3.0650871827800117,-0.5108478637966686,6.0,1.0108478637966687,6.065087182780012
119,"Daye, Austin",-17.224425926102725,-0.1230316137578766,140.0,1.008745899472162,141.2244259261027
120,"DeRozan, DeMar",-24.33681694529229,-0.025063663177437995,971.0,0.8777928083885612,852.336816945293
121,"Dedmon, Dewayne",-1.3729762334530686,-0.008745071550656488,157.0,1.1552418868372805,181.37297623345304
122,"Dellavedova, Matthew",-9.510049727003981,-0.031180490908209773,305.0,0.9820001630393576,299.51004972700406
123,"Deng, Luol",10.342405067696008,0.013662358081500672,757.0,1.0180417370307848,770.6575949323042
124,"Diaw, Boris",13.562066883277552,0.02149297445844303,631.0,0.9864309558109706,622.4379331167224
125,"Dieng, Gorgui",16.599506257217364,0.03313274702039394,501.0,0.99081934878799,496.400493742783
126,"Dinwiddie, Spencer",-41.72059738456483,-0.24686744014535403,169.0,0.9214236531631056,155.72059738456485
127,"Dorsey, Joey",-14.587592292297826,-0.10201113491117361,143.0,1.2069062398062784,172.5875922922978
128,"Douglas, Toney",-5.339627160821252,-0.10469857178080887,51.0,0.9478358266827694,48.339627160821244
129,"Douglas-Roberts, Chris",-11.26649495073664,-0.5364997595588876,21.0,1.0603092833684111,22.266494950736632
130,"Dragic, Goran",41.886152166882205,0.04354069871817277,962.0,1.0624884073109333,1022.1138478331178
131,"Dragic, Zoran",-9.02194116565981,-0.3007313721886603,30.0,1.1340647055219935,34.021941165659804
132,"Drew, Larry",-7.050827952743269,-0.12369873601303981,57.0,0.8956285605744432,51.05082795274326
133,"Drummond, Andre",-105.60054181876981,-0.11127559728005249,949.0,1.1460490430124004,1087.600541818768
134,"Dudley, Jared",19.43450012006514,0.047171116796274615,412.0,1.0766152909707167,443.56549987993526
135,"Duncan, Tim",49.739521334291204,0.06103008752673767,815.0,0.9671907713689676,788.2604786657085
136,"Dunleavy, Mike",28.748565779403283,0.05989284537375684,480.0,1.0296904879595759,494.25143422059637
137,"Durant, Kevin",81.3436299576663,0.174183361793718,467.0,0.9821335546945056,458.6563700423341
138,"Early, Cleanthony",-42.89051762700348,-0.20136393252114312,213.0,1.0182653409718463,216.89051762700328
139,"Ellington, Wayne",9.894893659341793,0.016115461985898687,614.0,0.9545685771020483,586.1051063406577
140,"Ellis, Monta",-7.424162523486505,-0.005487185900581304,1353.0,0.9552285014955568,1292.4241625234883
141,"Ennis, James",-41.26001988536598,-0.16840824443006522,245.0,1.11942865259333,274.2600198853658
142,"Ennis, Tyler",-23.930227697521932,-0.16618213678834676,144.0,0.9717376923439025,139.93022769752196
143,"Evans, Jeremy",2.82195546059376,0.048654404492995865,58.0,1.0892766299897625,63.17804453940623
144,"Evans, Reggie",-18.49191905354292,-0.13596999304075674,136.0,0.9889111695113447,134.4919190535429
145,"Evans, Tyreke",-38.026566324507584,-0.03280980700992889,1159.0,0.9913947940677372,1149.0265663245075
146,"Exum, Dante",-74.1829925720573,-0.17918597239627368,414.0,1.0680748612851625,442.18299257205723
147,"Ezeli, Festus",3.225711131067952,0.023545336723123738,137.0,1.0713451742257811,146.77428886893202
148,"Faried, Kenneth",-45.366157360652515,-0.06223066853313102,729.0,1.073204605432994,782.3661573606527
149,"Farmar, Jordan",-1.755068413009418,-0.011108027930439355,158.0,1.0047789140063885,158.75506841300938
150,"Favors, Derrick",48.61415988117576,0.05324661542297454,913.0,1.0037084776766962,916.3858401188237
151,"Felton, Raymond",-4.292609708333719,-0.0404963180031483,106.0,0.9461566953616387,100.2926097083337
152,"Fields, Landry",-1.7781786531671964,-0.046794175083347274,38.0,1.0204783856096629,38.77817865316719
153,"Fournier, Evan",0.9269445756540686,0.0016233705352960922,571.0,1.0334028991669806,590.0730554243459
154,"Foye, Randy",-11.928805307129206,-0.029673645042609966,402.0,0.9998228987739541,401.92880530712955
155,"Franklin, Jamaal",0.9907368882745118,0.4953684441372559,2.0,1.004631555862744,2.009263111725488
156,"Frazier, Tim",-7.257760485339961,-0.1395723170257685,52.0,0.9664953939488456,50.25776048533997
157,"Fredette, Jimmer",-23.095260274892983,-0.13912807394513846,166.0,0.9523810859933308,158.09526027489292
158,"Freeland, Joel",2.0294174940969363,0.013529449960646242,150.0,0.9731372167060205,145.97058250590308
159,"Frye, Channing",26.061438914845432,0.05373492559761945,485.0,1.001935177495165,485.9385610851551
160,"Gallinari, Danilo",-2.2766880483092056,-0.004015322836524172,567.0,0.9969606491151848,565.2766880483098
161,"Galloway, Langston",-16.062886225990244,-0.03206164915367314,501.0,0.9602053617285231,481.0628862259901
162,"Garcia, Francisco",-24.17152502501337,-0.3836750003970376,63.0,1.0820876988097359,68.17152502501337
163,"Garnett, Kevin",14.228688865410012,0.047587588178628806,299.0,0.8922117429250496,266.77131113458984
164,"Gasol, Marc",60.556374907005264,0.056647684665112503,1069.0,0.9339977783844667,998.4436250929949
165,"Gasol, Pau",79.15202718330204,0.06912840802035113,1145.0,0.9317449544250638,1066.847972816698
166,"Gay, Rudy",71.36487330308437,0.06417704433730609,1112.0,0.9187366247274414,1021.6351266969149
167,"Gee, Alonzo",-26.697121369975886,-0.1443087641620318,185.0,1.1443087641620326,211.69712136997603
168,"George, Paul",-4.081238646647489,-0.08329058462545896,49.0,1.0016579315642342,49.08123864664748
169,"Gibson, Taj",-9.266122632300805,-0.018385163952977786,504.0,1.0263216718894856,517.2661226323007
